comp1	comp2	comp3	type	breed
10.5085702234147	-2.9298228370696	1.40845978052628	China_Local	LJH
1.42030432133549	-1.82532855840898	6.44337152345388	China_Local	LJH
7.99335538140638	-2.24322045132247	5.29094007847768	China_Local	LJH
-1.96623001847606	-6.02894027172405	0.778300901370546	China_Local	LJH
3.73317699306039	-3.91994281165821	6.46722824239946	China_Local	LJH
-1.85861215587877	-7.78634780129743	5.73405824065674	China_Local	LJH
-0.0978711024736999	-2.66253112229125	5.76511268313901	China_Local	LJH
0.979515545977649	-2.18889671003996	5.2191476149013	China_Local	LJH
-5.6247108893213	-1.45254146732519	3.75454022631247	China_Local	LJH
12.4686281718651	-5.88274452140993	8.93496532611131	China_Local	LJH
-11.1449675110897	-9.90298092688815	3.60971630355529	China_Local	LJH
-1.05840803171109	-2.11341022983967	6.4476189183244	China_Local	LJH
40.0167831288189	-24.7406606532894	-9.59032320375579	Commercial	LW
44.4471175073941	-18.6362037145785	-7.83343784936291	Commercial	LW
42.3947389812268	-21.5471901669597	-9.02704601356753	Commercial	LW
38.7843167369935	-25.4054200763706	-8.09002955641853	Commercial	LW
41.4598565511735	-20.4830431053878	-10.0700140727982	Commercial	LW
40.7803720599804	-28.8368701586405	-12.2694716420985	Commercial	LW
39.878858339663	-22.1154351501978	-10.9062436461036	Commercial	LW
40.6416669200279	-24.1655349785812	-9.785169347634	Commercial	LW
40.9226520042875	-24.9301570550349	-9.07618522324843	Commercial	LW
38.9894411148392	-26.1362314688006	-8.30483755223307	Commercial	LW
40.3275431203418	-22.6115636802265	-9.18686411198699	Commercial	LW
41.1461482929203	-23.0241808926571	-9.08432495114292	Commercial	LW
46.1972393445424	-19.8699887615577	-10.2576654607378	Commercial	LW
43.7192170038186	-25.4474933512184	-11.9511845074501	Commercial	LW
38.6416695808718	-26.0985822360609	-9.98287226226824	Commercial	LW
45.3511987210501	-22.3342222489486	-8.76241773050013	Commercial	LW
43.4269654580489	-26.1386004220593	-7.55786137444595	Commercial	LW
43.3789544089624	-24.265912917832	-12.76711818015	Commercial	LW
39.1066220011119	-25.1505334997113	-7.63960967722232	Commercial	LW
46.9636644644738	-18.4621028738524	-9.60860323602987	Commercial	LW
39.0497324847666	-26.9233367421294	-11.4609361802661	Commercial	LW
45.0704100531641	-24.237152508122	-7.93749229849293	Commercial	LW
43.3142520615829	-25.1323157802707	-7.94729536233544	Commercial	LW
39.4924742277058	-21.4790659975651	-5.8388200154183	Commercial	LW
38.8406982660963	-20.9202973842512	-8.03545436128458	Commercial	LW
42.2682444026766	-23.0248673757793	-5.3709958052774	Commercial	LW
44.8132296973658	-23.2681005885864	-9.77794131114693	Commercial	LW
42.7593302270198	-17.6976859192687	-6.21437532418201	Commercial	LW
43.4198066336035	-20.7827411689872	-2.98106277523926	Commercial	LW
44.7088544821511	-19.5994495304558	-7.8366112599788	Commercial	LW
44.0345289063909	-19.3436694564055	-5.31975761160388	Commercial	LW
45.4858075439983	-19.8424683783741	-2.47892004880848	Commercial	LW
43.2500218217607	-26.7411736898338	-6.06653590744655	Commercial	LW
44.9070212108137	-19.8852186220128	-8.2430550477304	Commercial	LW
38.8335132946822	-24.2883248290617	-8.5034472033398	Commercial	LW
41.9699744474563	-24.0664820113756	-8.70517559747924	Commercial	LW
40.9995303435978	-22.7074491920346	-6.80436034722078	Commercial	LW
47.6512474363544	-18.9203235810459	-4.61826695114237	Commercial	LW
41.3890390253224	-25.0610408396142	-6.28544393697285	Commercial	LW
42.4525988348656	-20.9721921366648	-5.78500619438578	Commercial	LW
